timestamp,open,high,low,close,volume
2020-08-28,82994,83496,80285,81390,1506996
2020-08-31,82392,84399,80486,81691,1629751
2020-09-01,82994,83496,80285,80587,1100736
2020-09-02,81390,82795,80587,82695,921655
2020-09-03,83395,83496,81088,82293,739215
2020-09-04,78279,81189,78179,80688,1168529
2020-09-07,80587,80587,78480,78681,928939
2020-09-08,78980,79983,76371,78279,1020539
2020-09-09,76573,77878,76071,77075,935573
2020-09-10,78681,79584,77075,77376,936708
2020-09-11,76671,77073,75368,76071,792840
2020-09-14,75668,75868,74063,74967,830231
2020-09-15,74465,77275,74064,76473,860038
2020-09-16,77075,77175,75670,75670,485743
2020-09-17,74965,75066,74063,74465,617702
2020-09-18,74064,75670,73462,74867,495271
2020-09-21,74566,75068,73060,73161,530255
2020-09-22,72458,74064,70451,70853,880318
2020-09-23,71956,73663,70853,73362,930394
2020-09-24,72458,72559,70451,70652,763638
2020-09-25,71453,71854,69547,70551,449701
2020-09-28,71554,74664,71052,74064,674705
2020-09-29,75168,75268,73060,73161,612054
2020-10-05,72357,74364,71855,74365,522228
2020-10-06,74967,76974,74265,76573,765339
2020-10-07,75869,76572,75468,76372,398285
2020-10-08,76972,77675,76070,76071,624658
2020-10-12,76874,76874,74465,74566,471624
2020-10-13,75066,75668,74565,74666,302317
2020-10-14,74265,75268,73462,73964,333008
2020-10-15,73861,73962,72257,72659,422566
2020-10-16,72458,72659,71254,71756,400405
2020-10-19,71856,72759,70652,70853,362402
2020-10-20,69848,70852,68242,70752,759973
2020-10-21,70451,72458,70451,70953,516282
2020-10-22,70551,70652,69347,70050,376380
2020-10-23,69947,70248,68242,68243,622592
2020-10-26,67641,68444,65835,66136,714722
2020-10-27,65132,68946,65132,67039,812610
2020-10-28,67340,69548,67240,69548,629567
2020-10-29,68644,69345,67941,68845,491546
2020-10-30,68843,69044,66235,66236,553748
2020-11-02,66335,67339,65834,67139,319856
2020-11-03,67139,68043,66637,67541,403786
2020-11-04,68343,72457,68242,72157,1431026
2020-11-05,72057,73964,70853,72860,1061367
2020-11-06,73662,76370,73361,74365,1315572
2020-11-09,75268,75469,73763,74566,593735
2020-11-10,71756,72559,71053,71455,1105100
2020-11-11,70550,71954,69748,71354,713843
2020-11-12,72258,73161,71254,71756,555279
2020-11-13,71254,73462,71254,73362,538206
2020-11-16,74463,74564,72156,72659,557987
2020-11-17,71855,73259,71454,72659,452275
2020-11-18,72258,73964,72157,73362,484493
2020-11-19,73763,74566,73362,73362,430120
2020-11-20,73562,73863,72659,73362,267266
2020-11-23,73964,74064,73261,73663,363196
2020-11-24,73562,75670,73562,74867,649755
2020-11-25,75770,75770,73462,73663,703279
2020-11-26,73763,75168,73562,75068,539570
2020-11-27,75369,75770,74465,74867,335836
2020-11-30,74865,75066,73862,73863,544990
2020-12-01,74164,75268,74064,75168,452723
2020-12-02,75369,75369,74465,74867,440500
2020-12-03,74867,75068,74064,75068,464371
2020-12-04,75068,78781,74465,78179,1561745
2020-12-07,79281,79281,76371,77275,894743
2020-12-08,77777,77878,75068,75168,768600
2020-12-09,75267,75868,74866,75268,579905
2020-12-10,74464,75868,73762,74365,818557
2020-12-11,75068,76272,74867,75168,438405
2020-12-14,75567,76471,74766,74967,480288
2020-12-15,74965,75367,74063,74465,393157
2020-12-16,74966,75266,74464,74666,269253
2020-12-17,75066,75066,73963,74064,455131
2020-12-18,74064,74164,73362,73663,427433
2020-12-21,73663,76272,73663,76172,819879
2020-12-22,76270,78177,75368,75469,876516
2020-12-23,76471,77374,75669,75770,629952
2020-12-24,75971,76272,74666,75068,465132
2020-12-28,75168,75670,74164,74867,646464
2020-12-29,76472,77375,75869,77175,857404
2020-12-30,77175,79082,76974,78179,813142
2021-01-04,78680,79583,77375,79483,853740
2021-01-05,78880,79381,77676,78881,748559
2021-01-06,79282,82291,79181,79383,1435715
2021-01-07,80687,80987,78880,80788,775191
2021-01-08,82896,87512,81189,87111,2466715
2021-01-11,88515,92929,86106,90924,3157747
2021-01-12,89518,92327,86909,91827,1577872
2021-01-13,92026,92729,90221,91225,806402
2021-01-14,91123,92929,90321,90623,802076
2021-01-15,90722,92127,87611,87813,995726
2021-01-18,87010,88616,85706,85806,839984
2021-01-19,85906,89218,85906,88315,583997
2021-01-20,89921,90322,87713,89118,596340
2021-01-21,90824,92530,90724,91125,679093
2021-01-22,91525,95539,90823,92931,1162395
2021-01-25,94738,95440,92329,95039,720170
2021-01-26,96143,96143,92430,92530,812266
2021-01-27,92931,95741,92530,93333,719814
2021-01-28,91125,94035,90724,91928,921812
2021-01-29,92329,92430,87512,88516,1070093
2021-02-01,87512,88917,85304,88616,910101
2021-02-02,90322,91727,89017,89419,662905
2021-02-03,90422,92730,89720,92731,758097
2021-02-04,92929,92929,90120,91225,516837
2021-02-05,91727,92530,89820,91326,408416
2021-02-08,91325,92729,90321,91727,516115
2021-02-09,92329,93835,90824,92530,735565
2021-02-10,93533,98449,93533,98250,1814483
2021-02-15,100156,101360,98751,100759,1052548
2021-02-16,101161,104172,100258,103168,1076048
2021-02-17,103367,103367,100959,102164,562572
2021-02-18,101562,103770,100559,100559,466922
2021-02-19,99756,101562,98351,101161,695664
2021-02-22,101360,102363,98350,98451,640993
2021-02-23,96645,98852,95741,97749,665417
2021-02-24,97749,98853,94838,95039,667209
2021-02-25,95942,97247,95039,97247,562549
2021-02-26,99854,100757,96443,97949,1617276
2021-03-02,100157,101161,98351,98652,922034
2021-03-03,98450,99353,97948,99053,528321
2021-03-04,97847,98349,96543,96745,694890
2021-03-05,94135,95137,92930,94537,712633
2021-03-08,94738,95240,91125,91125,681524
2021-03-09,90021,90623,87211,88516,1068670
2021-03-10,90823,93230,90120,92329,899669
2021-03-11,92430,97247,91727,96143,928091
2021-03-12,98148,98349,95740,96544,435063
2021-03-15,96344,96745,94738,96143,345981
2021-03-16,96544,97347,95942,96143,270853
2021-03-17,96142,98549,95941,97347,403953
2021-03-18,98049,101159,97547,99956,771697
2021-03-19,98050,99755,97146,98853,516981
2021-03-22,98953,99654,97949,99154,315035
2021-03-23,99553,100958,97447,98451,379964
2021-03-24,97647,98751,96744,98752,288563
2021-03-25,98349,98549,96744,97347,388531
2021-03-26,97948,99353,97547,99354,384547
2021-03-29,99555,99655,97347,97849,349113
2021-03-30,98350,99754,98249,99053,311073
2021-03-31,99153,101360,98550,99956,503036
2021-04-01,100357,101159,98751,100157,412423
2021-04-02,101964,101964,100157,100559,298641
2021-04-05,100959,101360,100357,100759,310400
2021-04-06,101561,109389,101361,109189,1724958
2021-04-07,109188,109188,105576,108788,820896
2021-04-08,108185,112600,107181,109992,912514
2021-04-09,111197,112602,110594,112000,788839
2021-04-12,0,0,0,112000,0
2021-04-13,0,0,0,112000,0
2021-04-14,0,0,0,112000,0
2021-04-15,120500,132500,118000,120500,17115015
2021-04-16,115500,120500,115500,119000,13709555
2021-04-19,119999,122000,117500,119000,5441693
2021-04-20,119000,120999,118000,119500,2952174
2021-04-21,119500,119500,117000,118000,4461636
2021-04-22,118000,119500,117500,117500,2279180
2021-04-23,116500,118500,114500,117500,2473720
2021-04-26,118000,118000,117500,118000,1729458
2021-04-27,118500,124500,118500,121500,5332544
2021-04-28,121500,122000,119000,119500,2276272
2021-04-29,120000,120500,115500,117000,3445462
2021-04-30,117000,117000,113000,113500,4405688
2021-05-03,112500,116000,110000,114500,2832622
2021-05-04,113500,116000,112000,115500,2228466
2021-05-06,115000,117500,113500,115000,3234424
2021-05-07,115500,117000,114000,114500,2040844
2021-05-10,115500,116500,114500,116000,1898994
2021-05-11,115000,117000,114500,114500,1875600
2021-05-12,115000,115500,112000,113000,2558482
2021-05-13,109000,111000,108000,109500,4201490
2021-05-14,109500,111500,108000,109000,2276082
2021-05-17,109000,111000,109000,110500,1656454
2021-05-18,111500,114500,111000,113000,1585701
2021-05-20,112500,115500,112000,113500,2135101
2021-05-21,116000,119000,114500,117000,3018548
2021-05-24,116500,118000,115500,116500,1715308
2021-05-25,117000,118000,116000,118000,1777001
2021-05-26,118500,120000,117500,119500,2308405
2021-05-27,120000,125000,119500,125000,7398732
2021-05-28,125000,125500,120500,122000,3685820
2021-05-31,122000,123000,120500,123000,2299358
2021-06-01,123500,127000,123000,127000,3573808
2021-06-02,128000,129500,126000,127000,2597446
2021-06-03,127500,128500,126000,126500,1737466
2021-06-04,126000,126000,123000,124000,2668254
2021-06-07,125000,127000,125000,126000,1905198
2021-06-08,127000,128500,126500,128500,2248373
2021-06-09,128500,130000,128500,129000,1936747
2021-06-10,130000,135000,129500,133500,5564011
2021-06-11,134500,136500,132000,135500,3674400
2021-06-14,136000,143000,136000,142500,6240394
2021-06-15,143500,144500,140500,144500,4950329
2021-06-16,144000,146000,142500,143000,4996272
2021-06-17,142000,149500,140500,148000,5408889
2021-06-18,150000,157500,149500,155000,7706345
2021-06-21,155500,159500,152000,155000,8324948
2021-06-22,158000,159000,155500,159000,4662042
2021-06-23,162500,170000,161000,169500,9078797
2021-06-24,172000,173000,155500,157000,18408195
2021-06-25,155000,159500,150500,154500,12271446
2021-06-28,154500,157500,154000,155000,5141409
2021-06-29,156000,158000,154500,158000,3938542
2021-06-30,159000,165000,157500,163000,7305590
2021-07-01,164000,165500,159500,160000,4630280
2021-07-02,158500,161500,156000,159500,4407703
2021-07-05,160500,162000,156500,157000,4506967
2021-07-06,157500,159000,157000,157500,2045164
2021-07-07,158500,163500,158500,161000,4413394
2021-07-08,161500,164500,161000,163000,4121257
2021-07-09,161500,162000,158500,160500,3795528
2021-07-12,161000,162500,158000,162000,3248064
2021-07-13,162500,163500,160500,161000,3859736
2021-07-14,161500,164500,161000,162000,3352019
2021-07-15,162000,162000,158500,159500,3821843
2021-07-16,158500,159500,157000,157000,3423188
2021-07-19,155500,155500,154000,154000,3475792
2021-07-20,151500,153000,149000,152000,6652856
2021-07-21,153000,155500,144500,145000,10409836
2021-07-22,144500,148000,142500,147500,5759268
2021-07-23,148500,153500,147500,149500,5249906
2021-07-26,151500,153000,146500,147500,4071898
2021-07-27,147500,149000,145500,148000,3357695
2021-07-28,147000,149500,146500,148000,2716816
2021-07-29,148500,149000,147500,148500,1766172
2021-07-30,149000,149500,147000,147000,2057332
2021-08-02,147000,148500,145000,146000,2172117
2021-08-03,146000,146500,143000,144000,2697098
2021-08-04,144500,150000,144000,149500,3136752
2021-08-05,150000,151500,148500,149000,2254087
2021-08-06,149500,149500,145000,145500,4155669
2021-08-09,145500,149000,144000,148000,3017396
2021-08-10,148000,148500,144500,146500,2074409
2021-08-11,145500,147500,144000,144000,1754472
2021-08-12,146000,148000,144000,147500,2950088
2021-08-13,147500,147500,144500,146000,2285992
2021-08-17,146000,147500,141000,142000,3322347
2021-08-18,142000,146500,141500,145500,2720552
2021-08-19,144000,149000,144000,146500,2813914
2021-08-20,146500,149000,143000,144000,2776813
2021-08-23,146000,148500,144500,148500,2678395
2021-08-24,150000,150500,148000,149000,2032632
2021-08-25,149000,153500,148500,151000,2900928
2021-08-26,151500,152500,147500,149500,2360164
2021-08-27,149000,150000,147000,150000,1430634
2021-08-30,152000,153000,150500,151500,1628144
2021-08-31,152500,155000,151000,155000,3078357
2021-09-01,155000,156000,154000,154000,2011434
2021-09-02,154500,156000,153500,155000,1649156
2021-09-03,155500,157500,154500,156500,1934669
2021-09-06,156000,156500,152500,155500,1883428
2021-09-07,155500,156000,153500,154000,1072249
2021-09-08,151500,151500,136500,138500,16920382
2021-09-09,134000,134500,128000,128500,14534253
2021-09-10,127000,133500,126000,130000,9918050
2021-09-13,126500,130000,122500,124500,8675498
2021-09-14,122500,126000,118000,124000,18895148
2021-09-15,123500,127500,122000,122500,9078817
2021-09-16,123000,125000,121000,121500,4770936
2021-09-17,121500,121500,118000,119500,4807631
2021-09-23,116500,118000,114000,115000,6314773
2021-09-24,116000,121000,116000,119500,5327603
2021-09-27,120000,122500,119500,120000,3635942
2021-09-28,120500,121500,117500,117500,3445583
2021-09-29,115000,117500,114500,116500,3172350
2021-09-30,115000,120500,114500,118000,4649917
2021-10-01,118000,120000,116000,116500,2329103
2021-10-05,114500,116000,110500,111000,4885065
2021-10-06,112500,116000,112000,113000,4610915
2021-10-07,115000,119500,115000,119500,5146917
2021-10-08,121500,121500,117500,117500,3930836
2021-10-12,117000,118500,113000,113500,3810466
2021-10-13,114000,118500,114000,117000,2731883
2021-10-14,118500,122000,118500,121500,3891958
2021-10-15,123000,123500,120000,122000,2331425
2021-10-18,123000,123000,120500,121500,1831322
2021-10-19,123000,127500,121500,127500,4075027
2021-10-20,129500,130500,127000,128000,4959740
2021-10-21,128500,130000,127500,128000,2297507
2021-10-22,128000,129500,125500,127500,1985417
2021-10-25,126500,127500,123500,126000,2309608
2021-10-26,126000,128000,126000,127500,1265299
2021-10-27,128000,129000,126500,128500,1449071
2021-10-28,129000,130000,125000,125500,1783396
